UserID,SessionID,VisitDate,TrafficSource,DeviceType,Country,LandingPage,PagesViewed,SessionDuration,Bounce,ExitPage,Conversion
10000,S00001,2025-01-13,Social,Mobile,USA,Products,11,238,Yes,Contact,No
10001,S00002,2025-02-14,Email,Desktop,India,Home,12,1126,Yes,Products,Yes
10002,S00003,2025-11-05,Organic,Tablet,USA,Contact,4,1044,No,Products,No
10003,S00004,2025-05-23,Organic,Mobile,Germany,Blog,8,1216,No,Services,Yes
10004,S00005,2025-06-22,Organic,Mobile,Canada,Home,3,450,No,Checkout,No
10005,S00006,2025-05-16,Organic,Tablet,Canada,Pricing,6,1246,Yes,Blog,Yes
10006,S00007,2025-05-31,Email,Desktop,Australia,Products,2,1140,Yes,Home,No
10007,S00008,2025-05-29,Organic,Mobile,India,Blog,11,476,No,Blog,Yes
10008,S00009,2025-07-06,Direct,Desktop,UK,Products,11,1718,No,Contact,Yes
10009,S00010,2025-11-28,Organic,Tablet,Germany,Products,15,1409,Yes,Products,Yes
10010,S00011,2025-05-19,Email,Mobile,Germany,Services,8,787,Yes,Products,Yes
10011,S00012,2025-06-11,Referral,Desktop,India,Products,14,75,No,Products,No
10012,S00013,2025-07-22,Referral,Mobile,UK,Products,11,1032,Yes,Contact,Yes
10013,S00014,2025-05-15,Email,Desktop,Australia,Blog,9,1113,No,Products,Yes
10014,S00015,2025-09-10,Organic,Mobile,India,Products,3,1053,Yes,Checkout,No
10015,S00016,2025-11-02,Organic,Desktop,Canada,Pricing,11,874,No,Pricing,Yes
10016,S00017,2025-01-06,Organic,Tablet,Australia,Checkout,5,1143,No,Checkout,No
10017,S00018,2025-02-27,Social,Desktop,USA,Blog,11,706,Yes,Contact,Yes
10018,S00019,2025-05-15,Email,Mobile,Australia,Home,15,1483,No,Checkout,Yes
10019,S00020,2025-11-08,Direct,Mobile,UK,Checkout,11,1049,Yes,Pricing,Yes
10020,S00021,2025-01-01,Email,Desktop,Canada,Home,13,1096,Yes,Services,Yes
10021,S00022,2025-06-07,Direct,Mobile,USA,Pricing,15,1713,Yes,Home,Yes
10022,S00023,2025-02-05,Email,Mobile,USA,Contact,12,1005,No,Pricing,Yes
10023,S00024,2025-09-28,Email,Desktop,USA,Pricing,3,552,Yes,Contact,No
10024,S00025,2025-12-10,Social,Desktop,Australia,Blog,5,827,Yes,Products,No
